lemma,type
algie,nounSuffix
ant,nounSuffix
anz,nounSuffix
chen,nounSuffix
elchen,nounSuffix
enz,nounSuffix
er,nounSuffix
erchen,nounSuffix
ette,nounSuffix
heit,nounSuffix
ier,nounSuffix
ier,nounSuffix
in,nounSuffix
ismus,nounSuffix
keit,nounSuffix
kunde,nounSuffix
le,nounSuffix
lein,nounSuffix
ling,nounSuffix
loge,nounSuffix
logie,nounSuffix
manie,nounSuffix
mantie,nounSuffix
meter,nounSuffix
meter,nounSuffix
phagie,nounSuffix
philie,nounSuffix
phobie,nounSuffix
sal,nounSuffix
schaft,nounSuffix
schrecke,nounSuffix
skopie,nounSuffix
stan,nounSuffix
tum,nounSuffix
ung,nounSuffix
urie,nounSuffix
